task_id,train_error,val_error,test_error
1,0.214633333333,0.23595,0.0
2,0.214633333333,0.23595,0.0181451612903
3,0.214633333333,0.23595,0.0574596774194
4,0.214633333333,0.23595,0.0
5,0.214633333333,0.23595,0.0221774193548
6,0.214633333333,0.23595,0.0
7,0.214633333333,0.23595,0.0554435483871
8,0.214633333333,0.23595,0.0352822580645
9,0.214633333333,0.23595,0.0070564516129
10,0.214633333333,0.23595,0.0131048387097
11,0.214633333333,0.23595,0.00100806451613
12,0.214633333333,0.23595,0.0
13,0.214633333333,0.23595,0.0
14,0.214633333333,0.23595,0.699596774194
15,0.214633333333,0.23595,0.785282258065
16,0.214633333333,0.23595,0.760080645161
17,0.214633333333,0.23595,0.490927419355
18,0.214633333333,0.23595,0.454637096774
19,0.214633333333,0.23595,0.922379032258
20,0.214633333333,0.23595,0.690524193548
1,0.219,0.23485,0.0
2,0.219,0.23485,0.0201612903226
3,0.219,0.23485,0.0786290322581
4,0.219,0.23485,0.00100806451613
5,0.219,0.23485,0.0877016129032
6,0.219,0.23485,0.0
7,0.219,0.23485,0.0695564516129
8,0.219,0.23485,0.0473790322581
9,0.219,0.23485,0.00302419354839
10,0.219,0.23485,0.0110887096774
11,0.219,0.23485,0.00100806451613
12,0.219,0.23485,0.00302419354839
13,0.219,0.23485,0.0
14,0.219,0.23485,0.596774193548
15,0.219,0.23485,0.664314516129
16,0.219,0.23485,0.774193548387
17,0.219,0.23485,0.519153225806
18,0.219,0.23485,0.519153225806
19,0.219,0.23485,0.920362903226
20,0.219,0.23485,0.570564516129
1,0.21955,0.239,0.0
2,0.21955,0.239,0.0161290322581
3,0.21955,0.239,0.0695564516129
4,0.21955,0.239,0.0
5,0.21955,0.239,0.0625
6,0.21955,0.239,0.0
7,0.21955,0.239,0.0725806451613
8,0.21955,0.239,0.023185483871
9,0.21955,0.239,0.00504032258065
10,0.21955,0.239,0.0120967741935
11,0.21955,0.239,0.0
12,0.21955,0.239,0.00201612903226
13,0.21955,0.239,0.0
14,0.21955,0.239,0.615927419355
15,0.21955,0.239,0.793346774194
16,0.21955,0.239,0.729838709677
17,0.21955,0.239,0.554435483871
18,0.21955,0.239,0.48689516129
19,0.21955,0.239,0.933467741935
20,0.21955,0.239,0.698588709677
1,0.225266666667,0.2415,0.0
2,0.225266666667,0.2415,0.0292338709677
3,0.225266666667,0.2415,0.162298387097
4,0.225266666667,0.2415,0.0241935483871
5,0.225266666667,0.2415,0.0826612903226
6,0.225266666667,0.2415,0.00100806451613
7,0.225266666667,0.2415,0.0453629032258
8,0.225266666667,0.2415,0.023185483871
9,0.225266666667,0.2415,0.0
10,0.225266666667,0.2415,0.00504032258065
11,0.225266666667,0.2415,0.00302419354839
12,0.225266666667,0.2415,0.00201612903226
13,0.225266666667,0.2415,0.00604838709677
14,0.225266666667,0.2415,0.600806451613
15,0.225266666667,0.2415,0.712701612903
16,0.225266666667,0.2415,0.757056451613
17,0.225266666667,0.2415,0.48185483871
18,0.225266666667,0.2415,0.471774193548
19,0.225266666667,0.2415,0.923387096774
20,0.225266666667,0.2415,0.461693548387
1,0.221238888889,0.23945,0.0
2,0.221238888889,0.23945,0.0221774193548
3,0.221238888889,0.23945,0.100806451613
4,0.221238888889,0.23945,0.0
5,0.221238888889,0.23945,0.0897177419355
6,0.221238888889,0.23945,0.0
7,0.221238888889,0.23945,0.0584677419355
8,0.221238888889,0.23945,0.023185483871
9,0.221238888889,0.23945,0.00403225806452
10,0.221238888889,0.23945,0.0120967741935
11,0.221238888889,0.23945,0.00100806451613
12,0.221238888889,0.23945,0.00604838709677
13,0.221238888889,0.23945,0.0
14,0.221238888889,0.23945,0.649193548387
15,0.221238888889,0.23945,0.745967741935
16,0.221238888889,0.23945,0.732862903226
17,0.221238888889,0.23945,0.51814516129
18,0.221238888889,0.23945,0.524193548387
19,0.221238888889,0.23945,0.930443548387
20,0.221238888889,0.23945,0.673387096774
