task_id,train_error,val_error,test_error
1,0.0691964285714,0.291666666667,0.350806451613
1,0.0881696428571,0.34375,0.372983870968
2,0.0680803571429,0.40625,0.509072580645
3,0.234375,0.677083333333,0.661290322581
4,0.0,0.0,0.00302419354839
5,0.00669642857143,0.177083333333,0.202620967742
6,0.00334821428571,0.104166666667,0.131048387097
7,0.0881696428571,0.145833333333,0.247983870968
8,0.0145089285714,0.145833333333,0.0745967741935
9,0.0479910714286,0.1875,0.181451612903
10,0.0513392857143,0.21875,0.235887096774
11,0.03125,0.3125,0.267137096774
12,0.25,0.489583333333,0.488911290323
13,0.0636160714286,0.40625,0.445564516129
14,0.0,0.0,0.00403225806452
15,0.0,0.0,0.0
16,0.0,0.03125,0.0302419354839
17,0.396205357143,0.479166666667,0.515120967742
18,0.0736607142857,0.0520833333333,0.09375
19,0.702008928571,0.927083333333,0.905241935484
20,0.0,0.0,0.0
1,0.0959821428571,0.322916666667,0.369959677419
2,0.0825892857143,0.489583333333,0.493951612903
3,0.264508928571,0.708333333333,0.676411290323
4,0.0,0.0104166666667,0.0191532258065
5,0.0167410714286,0.145833333333,0.210685483871
6,0.00334821428571,0.0833333333333,0.109879032258
7,0.0870535714286,0.197916666667,0.220766129032
8,0.0145089285714,0.15625,0.149193548387
9,0.0345982142857,0.166666666667,0.189516129032
10,0.0491071428571,0.239583333333,0.232862903226
11,0.0189732142857,0.260416666667,0.280241935484
12,0.229910714286,0.510416666667,0.488911290323
13,0.123883928571,0.46875,0.433467741935
14,0.0,0.0,0.00504032258065
15,0.0,0.0,0.0
16,0.00223214285714,0.03125,0.0272177419355
17,0.380580357143,0.5,0.527217741935
18,0.0412946428571,0.03125,0.107862903226
19,0.645089285714,0.895833333333,0.872983870968
20,0.0,0.0,0.00403225806452
1,0.0993303571429,0.395833333333,0.353830645161
2,0.1171875,0.583333333333,0.487903225806
3,0.206473214286,0.71875,0.70060483871
4,0.0,0.0208333333333,0.0120967741935
5,0.0122767857143,0.177083333333,0.219758064516
6,0.00334821428571,0.0729166666667,0.118951612903
7,0.0714285714286,0.145833333333,0.212701612903
8,0.015625,0.229166666667,0.13810483871
9,0.0323660714286,0.260416666667,0.184475806452
10,0.0546875,0.239583333333,0.251008064516
11,0.00892857142857,0.291666666667,0.272177419355
12,0.216517857143,0.479166666667,0.494959677419
13,0.130580357143,0.458333333333,0.408266129032
14,0.0,0.0,0.00403225806452
15,0.0,0.0,0.0
16,0.0,0.03125,0.0262096774194
17,0.420758928571,0.489583333333,0.524193548387
18,0.0658482142857,0.0833333333333,0.105846774194
19,0.720982142857,0.885416666667,0.859879032258
20,0.0,0.0,0.0
1,0.0881696428571,0.34375,0.337701612903
2,0.0546875,0.53125,0.457661290323
3,0.2578125,0.697916666667,0.706653225806
4,0.0,0.0,0.00403225806452
5,0.0178571428571,0.15625,0.212701612903
6,0.00334821428571,0.0833333333333,0.139112903226
7,0.0758928571429,0.15625,0.278225806452
8,0.0714285714286,0.302083333333,0.222782258065
9,0.0189732142857,0.197916666667,0.208669354839
10,0.0401785714286,0.28125,0.257056451613
11,0.0111607142857,0.333333333333,0.275201612903
12,0.215401785714,0.510416666667,0.495967741935
13,0.129464285714,0.395833333333,0.415322580645
14,0.0,0.0104166666667,0.00403225806452
15,0.0,0.0,0.0
16,0.00111607142857,0.03125,0.0292338709677
17,0.441964285714,0.458333333333,0.511088709677
18,0.0591517857143,0.0729166666667,0.0967741935484
19,0.6640625,0.947916666667,0.850806451613
20,0.0,0.0,0.0
1,0.0970982142857,0.260416666667,0.370967741935
2,0.0904017857143,0.40625,0.526209677419
3,0.162946428571,0.708333333333,0.688508064516
4,0.0,0.0208333333333,0.0262096774194
5,0.00558035714286,0.145833333333,0.194556451613
6,0.00558035714286,0.0833333333333,0.127016129032
7,0.158482142857,0.354166666667,0.288306451613
8,0.015625,0.166666666667,0.116935483871
9,0.0145089285714,0.25,0.197580645161
10,0.0401785714286,0.260416666667,0.246975806452
11,0.0145089285714,0.302083333333,0.278225806452
12,0.239955357143,0.447916666667,0.482862903226
13,0.133928571429,0.395833333333,0.428427419355
14,0.0,0.0104166666667,0.00403225806452
15,0.0,0.0,0.0
16,0.0,0.0208333333333,0.0252016129032
17,0.415178571429,0.489583333333,0.526209677419
18,0.0535714285714,0.0729166666667,0.102822580645
19,0.635044642857,0.895833333333,0.862903225806
20,0.0,0.0,0.0100806451613
1,0.0859375,0.333333333333,0.345766129032
2,0.0524553571429,0.520833333333,0.509072580645
3,0.243303571429,0.708333333333,0.693548387097
4,0.0,0.0208333333333,0.0191532258065
5,0.00558035714286,0.197916666667,0.21875
6,0.0,0.0625,0.131048387097
7,0.0491071428571,0.125,0.178427419355
8,0.0100446428571,0.208333333333,0.136088709677
9,0.0357142857143,0.208333333333,0.193548387097
10,0.0591517857143,0.270833333333,0.272177419355
11,0.0133928571429,0.333333333333,0.290322580645
12,0.217633928571,0.510416666667,0.492943548387
13,0.121651785714,0.34375,0.441532258065
14,0.0,0.0,0.0120967741935
15,0.0,0.0,0.0
16,0.00111607142857,0.0208333333333,0.0241935483871
17,0.4375,0.520833333333,0.522177419355
18,0.0435267857143,0.0416666666667,0.113911290323
19,0.652901785714,0.927083333333,0.908266129032
20,0.0,0.0208333333333,0.00504032258065
1,0.1015625,0.302083333333,0.35685483871
2,0.0803571428571,0.53125,0.506048387097
3,0.198660714286,0.75,0.6875
4,0.0,0.0104166666667,0.00907258064516
5,0.0078125,0.15625,0.198588709677
