task_id,train_error,val_error,test_error
1,0.388783333333,0.40545,0.355846774194
2,0.388783333333,0.40545,0.642137096774
3,0.388783333333,0.40545,0.820564516129
4,0.388783333333,0.40545,0.232862903226
5,0.388783333333,0.40545,0.145161290323
6,0.388783333333,0.40545,0.09375
7,0.388783333333,0.40545,0.107862903226
8,0.388783333333,0.40545,0.0987903225806
9,0.388783333333,0.40545,0.0635080645161
10,0.388783333333,0.40545,0.129032258065
11,0.388783333333,0.40545,0.279233870968
12,0.388783333333,0.40545,0.470766129032
13,0.388783333333,0.40545,0.381048387097
14,0.388783333333,0.40545,0.839717741935
15,0.388783333333,0.40545,0.862903225806
16,0.388783333333,0.40545,0.720766129032
17,0.388783333333,0.40545,0.480846774194
18,0.388783333333,0.40545,0.54939516129
19,0.388783333333,0.40545,0.917338709677
20,0.388783333333,0.40545,0.459677419355
1,0.392033333333,0.40965,0.344758064516
2,0.392033333333,0.40965,0.637096774194
3,0.392033333333,0.40965,0.834677419355
4,0.392033333333,0.40965,0.193548387097
5,0.392033333333,0.40965,0.136088709677
6,0.392033333333,0.40965,0.09375
7,0.392033333333,0.40965,0.107862903226
8,0.392033333333,0.40965,0.09375
9,0.392033333333,0.40965,0.0645161290323
10,0.392033333333,0.40965,0.132056451613
11,0.392033333333,0.40965,0.292338709677
12,0.392033333333,0.40965,0.46875
13,0.392033333333,0.40965,0.402217741935
14,0.392033333333,0.40965,0.86189516129
15,0.392033333333,0.40965,0.757056451613
16,0.392033333333,0.40965,0.636088709677
17,0.392033333333,0.40965,0.480846774194
18,0.392033333333,0.40965,0.487903225806
19,0.392033333333,0.40965,0.929435483871
20,0.392033333333,0.40965,0.495967741935
1,0.392161111111,0.40335,0.339717741935
2,0.392161111111,0.40335,0.652217741935
3,0.392161111111,0.40335,0.788306451613
4,0.392161111111,0.40335,0.20060483871
5,0.392161111111,0.40335,0.145161290323
6,0.392161111111,0.40335,0.09375
7,0.392161111111,0.40335,0.105846774194
8,0.392161111111,0.40335,0.0927419354839
9,0.392161111111,0.40335,0.0635080645161
10,0.392161111111,0.40335,0.129032258065
11,0.392161111111,0.40335,0.271169354839
12,0.392161111111,0.40335,0.446572580645
13,0.392161111111,0.40335,0.396169354839
14,0.392161111111,0.40335,0.9375
15,0.392161111111,0.40335,0.79435483871
16,0.392161111111,0.40335,0.696572580645
17,0.392161111111,0.40335,0.480846774194
18,0.392161111111,0.40335,0.493951612903
19,0.392161111111,0.40335,0.929435483871
20,0.392161111111,0.40335,0.377016129032
1,0.41195,0.42265,0.363911290323
2,0.41195,0.42265,0.650201612903
3,0.41195,0.42265,0.826612903226
4,0.41195,0.42265,0.234879032258
5,0.41195,0.42265,0.131048387097
6,0.41195,0.42265,0.09375
7,0.41195,0.42265,0.117943548387
8,0.41195,0.42265,0.440524193548
9,0.41195,0.42265,0.0645161290323
10,0.41195,0.42265,0.128024193548
11,0.41195,0.42265,0.283266129032
12,0.41195,0.42265,0.462701612903
13,0.41195,0.42265,0.379032258065
14,0.41195,0.42265,0.790322580645
15,0.41195,0.42265,0.864919354839
16,0.41195,0.42265,0.715725806452
17,0.41195,0.42265,0.480846774194
18,0.41195,0.42265,0.409274193548
19,0.41195,0.42265,0.91935483871
20,0.41195,0.42265,0.51310483871
1,0.395083333333,0.40595,0.334677419355
2,0.395083333333,0.40595,0.642137096774
3,0.395083333333,0.40595,0.772177419355
4,0.395083333333,0.40595,0.219758064516
5,0.395083333333,0.40595,0.137096774194
6,0.395083333333,0.40595,0.09375
7,0.395083333333,0.40595,0.105846774194
8,0.395083333333,0.40595,0.0997983870968
9,0.395083333333,0.40595,0.0635080645161
10,0.395083333333,0.40595,0.131048387097
11,0.395083333333,0.40595,0.271169354839
12,0.395083333333,0.40595,0.458669354839
13,0.395083333333,0.40595,0.375
14,0.395083333333,0.40595,0.880040322581
15,0.395083333333,0.40595,0.620967741935
16,0.395083333333,0.40595,0.681451612903
17,0.395083333333,0.40595,0.480846774194
18,0.395083333333,0.40595,0.495967741935
19,0.395083333333,0.40595,0.923387096774
20,0.395083333333,0.40595,0.466733870968
