task_id,train_error,val_error,test_error
1,0.291370106762,0.352822580645,0.355846774194
2,0.355538256228,0.487903225806,0.454637096774
3,0.45640569395,0.610887096774,0.583669354839
4,0.308830071174,0.332661290323,0.317540322581
5,0.0928603202847,0.141129032258,0.175403225806
6,0.0548265124555,0.0907258064516,0.104838709677
7,0.0795151245552,0.103830645161,0.118951612903
8,0.0243549822064,0.0352822580645,0.0383064516129
9,0.0616103202847,0.0977822580645,0.0756048387097
10,0.122887010676,0.17439516129,0.151209677419
11,0.213078291815,0.296370967742,0.284274193548
12,0.424710854093,0.458669354839,0.442540322581
13,0.362322064057,0.411290322581,0.396169354839
14,0.0,0.0,0.0
15,0.129003558719,0.157258064516,0.180443548387
16,0.512677935943,0.563508064516,0.543346774194
17,0.411476868327,0.416330645161,0.41935483871
18,0.409586298932,0.467741935484,0.451612903226
19,0.787144128114,0.767137096774,0.793346774194
20,0.0,0.0,0.0
1,0.286365658363,0.380040322581,0.33064516129
2,0.359541814947,0.485887096774,0.461693548387
3,0.453736654804,0.629032258065,0.608870967742
4,0.29359430605,0.32560483871,0.315524193548
5,0.0936387900356,0.136088709677,0.180443548387
6,0.0489323843416,0.100806451613,0.116935483871
7,0.081628113879,0.117943548387,0.107862903226
8,0.0203514234875,0.0433467741935,0.0332661290323
9,0.0656138790036,0.104838709677,0.0836693548387
10,0.119884341637,0.178427419355,0.160282258065
11,0.23487544484,0.300403225806,0.26310483871
12,0.425600533808,0.454637096774,0.487903225806
13,0.349866548043,0.410282258065,0.364919354839
14,0.0,0.0,0.0
15,0.135120106762,0.151209677419,0.173387096774
16,0.499555160142,0.545362903226,0.542338709677
17,0.4128113879,0.405241935484,0.451612903226
18,0.40625,0.444556451613,0.487903225806
19,0.789368327402,0.806451612903,0.826612903226
20,0.0,0.0,0.0
1,0.288923487544,0.375,0.357862903226
2,0.361432384342,0.495967741935,0.462701612903
3,0.441169928826,0.609879032258,0.559475806452
4,0.297153024911,0.314516129032,0.322580645161
5,0.0817393238434,0.144153225806,0.164314516129
6,0.0570507117438,0.0927419354839,0.108870967742
7,0.0805160142349,0.110887096774,0.100806451613
8,0.0203514234875,0.0362903225806,0.0383064516129
9,0.0729537366548,0.10685483871,0.0745967741935
10,0.120106761566,0.171370967742,0.145161290323
11,0.220418149466,0.275201612903,0.271169354839
12,0.418483096085,0.467741935484,0.477822580645
13,0.361209964413,0.379032258065,0.385080645161
14,0.0,0.00100806451613,0.0
15,0.117882562278,0.146169354839,0.17439516129
16,0.521352313167,0.515120967742,0.533266129032
17,0.409475088968,0.404233870968,0.441532258065
18,0.404470640569,0.473790322581,0.475806451613
19,0.723420818505,0.754032258065,0.764112903226
20,0.0,0.0,0.0
1,0.294261565836,0.373991935484,0.333669354839
2,0.36087633452,0.469758064516,0.45564516129
3,0.490213523132,0.603830645161,0.607862903226
4,0.306717081851,0.318548387097,0.321572580645
5,0.0907473309609,0.152217741935,0.182459677419
6,0.0566058718861,0.102822580645,0.109879032258
7,0.085409252669,0.112903225806,0.107862903226
8,0.0215747330961,0.0322580645161,0.03125
9,0.0628336298932,0.103830645161,0.0796370967742
10,0.134230427046,0.185483870968,0.149193548387
11,0.232651245552,0.278225806452,0.252016129032
12,0.432050711744,0.459677419355,0.482862903226
13,0.340747330961,0.360887096774,0.364919354839
14,0.0,0.0,0.0
15,0.130449288256,0.137096774194,0.17439516129
16,0.510898576512,0.555443548387,0.546370967742
17,0.417259786477,0.391129032258,0.460685483871
18,0.389012455516,0.442540322581,0.506048387097
19,0.714079181495,0.73185483871,0.730846774194
20,0.0,0.0,0.0
1,0.28125,0.369959677419,0.319556451613
2,0.354426156584,0.48185483871,0.464717741935
3,0.474755338078,0.598790322581,0.615927419355
4,0.295818505338,0.317540322581,0.331653225806
5,0.0861877224199,0.147177419355,0.166330645161
6,0.0519350533808,0.105846774194,0.112903225806
7,0.081628113879,0.118951612903,0.104838709677
8,0.0227980427046,0.0362903225806,0.039314516129
9,0.0602758007117,0.107862903226,0.0866935483871
10,0.14112544484,0.166330645161,0.16935483871
11,0.235097864769,0.271169354839,0.251008064516
12,0.427379893238,0.426411290323,0.449596774194
13,0.341637010676,0.381048387097,0.370967741935
14,0.0,0.0,0.0
15,0.125444839858,0.122983870968,0.172379032258
16,0.505671708185,0.551411290323,0.533266129032
17,0.404359430605,0.39314516129,0.461693548387
18,0.433607651246,0.464717741935,0.479838709677
19,0.734541814947,0.737903225806,0.756048387097
20,0.0,0.0,0.0
