task_id,train_error,val_error,test_error
1,0.0669642857143,0.354166666667,0.352822580645
2,0.0647321428571,0.46875,0.507056451613
3,0.0803571428571,0.8125,0.746975806452
1,0.110491071429,0.333333333333,0.364919354839
2,0.168526785714,0.791666666667,0.626008064516
3,0.1015625,0.8125,0.76814516129
4,0.0167410714286,0.104166666667,0.132056451613
5,0.00558035714286,0.208333333333,0.192540322581
6,0.00223214285714,0.0833333333333,0.115927419355
7,0.0111607142857,0.125,0.178427419355
8,0.0245535714286,0.25,0.145161290323
9,0.0078125,0.25,0.235887096774
10,0.0491071428571,0.291666666667,0.25
11,0.0167410714286,0.291666666667,0.258064516129
12,0.231026785714,0.46875,0.484879032258
13,0.227678571429,0.375,0.423387096774
14,0.0,0.0,0.00604838709677
15,0.0,0.0,0.0
16,0.407366071429,0.625,0.578629032258
17,0.362723214286,0.375,0.494959677419
18,0.0212053571429,0.0625,0.134072580645
19,0.659598214286,0.927083333333,0.886088709677
20,0.0,0.0,0.0
1,0.0859375,0.375,0.359879032258
2,0.0435267857143,0.46875,0.488911290323
3,0.0825892857143,0.78125,0.741935483871
4,0.00223214285714,0.0416666666667,0.0584677419355
5,0.0078125,0.1875,0.224798387097
6,0.00223214285714,0.0729166666667,0.121975806452
7,0.0535714285714,0.25,0.271169354839
8,0.0189732142857,0.291666666667,0.226814516129
9,0.0636160714286,0.21875,0.244959677419
10,0.0345982142857,0.260416666667,0.266129032258
11,0.03125,0.322916666667,0.296370967742
12,0.197544642857,0.427083333333,0.497983870968
13,0.0647321428571,0.4375,0.456653225806
14,0.0,0.0416666666667,0.0302419354839
15,0.0,0.0,0.0
16,0.345982142857,0.552083333333,0.542338709677
17,0.357142857143,0.447916666667,0.478830645161
18,0.0200892857143,0.03125,0.102822580645
19,0.677455357143,0.927083333333,0.891129032258
20,0.0,0.0,0.0
1,0.0803571428571,0.385416666667,0.362903225806
2,0.0803571428571,0.552083333333,0.516129032258
3,0.119419642857,0.791666666667,0.751008064516
4,0.0234375,0.177083333333,0.162298387097
5,0.0078125,0.1875,0.216733870968
6,0.00334821428571,0.104166666667,0.129032258065
7,0.0837053571429,0.322916666667,0.290322580645
8,0.0267857142857,0.25,0.160282258065
9,0.0078125,0.260416666667,0.252016129032
10,0.0189732142857,0.260416666667,0.267137096774
11,0.0234375,0.229166666667,0.28125
12,0.214285714286,0.489583333333,0.480846774194
13,0.166294642857,0.416666666667,0.432459677419
14,0.0,0.0208333333333,0.0241935483871
15,0.0,0.0,0.0
16,0.375,0.510416666667,0.536290322581
17,0.323660714286,0.416666666667,0.508064516129
18,0.0200892857143,0.0416666666667,0.09375
