1 2 3 4 10 5 6 7 8 9
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.6 0.4 0.5 0.3 0.3 62.0 1.3 2.3 1.0 0.8
17.8 12.6 15.0 9.3 2.1 80.0 15.8 14.0 6.8 18.3
31.8 0.0 0.0 0.0 0.0 21.4 0.0 0.0 0.0 0.0
14.2 0.8 0.6 0.8 0.8 8.7 7.2 7.5 6.1 0.8
0.1 0.2 0.1 0.0 0.1 6.1 0.7 0.2 0.1 0.1
7 5.7 3.2 3.7 2.0 14.8 10.5 6.1 6.6 8.4
1.4 2.4 2.2 0.8 0.9 8.9 4.7 4.0 2.7 1.4
1.8 1.3 2.0 0.8 0.3 3.7 0.4 0.0 0.0 0.2
1.9 1.7 3.3 2.4 0.0 10.3 0.6 0.4 0.5 0.0
0.0 0.0 0.0 0.0 0.1 8.3 0.0 0.0 0.0 0.4
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1 0.0
0.0 0.1 0.0 0.0 0.0 5.6 0.0 0.0 0.0 0.0
0.0 0.2 0.0 0.0 0.1 30.9 0.2 0.2 0.0 1.7
12.5 0.0 0.0 0.0 0.0 42.6 0.0 0.0 0.2 0.0
50.9 48.6 0.1 0.4 51.8 47.3 46.4 0.4 0.2 49.2
47.4 40.3 41.1 40.7 18.6 40.0 39.7 41.7 41.8 40.0
41.3 7.4 8.6 6.7 5.3 9.2 10.1 8.6 8.0 8.4
75.4 66.6 66.7 66.5 2.3 91.0 80.8 73.3 75.7 89.5
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
15.4 9.4 7.2 6.6 4.2 24.5 10.9 7.9 7.5 11.0
9 6 4 4 3 16 7 6 6 6
